CountyYear,Pop,All industry total,Private industries,"                Agriculture, forestry, fishing and hunting","                Mining, quarrying, and oil and gas extraction",Utilities,Construction,Manufacturing,Durable goods manufacturing,Nondurable goods manufacturing,Wholesale trade,Retail trade,Transportation and warehousing,Information,"                Finance, insurance, real estate, rental, and leasing",Finance and insurance,Real estate and rental and leasing,Professional and business services,"                        Professional, scientific, and technical services",Management of companies and enterprises,Administrative and support and waste management and remediation services,"                Educational services, health care, and social assistance",Educational services,Health care and social assistance,"                Arts, entertainment, recreation, accommodation, and food services","                        Arts, entertainment, and recreation",Accommodation and food services,Other services (except government and government enterprises),Government and government enterprises
Davis2011,311904,"10,499,262","7,582,163","14,201","20,765","15,834","508,401","1,647,745","837,022","810,723","307,472","626,890","266,968","199,361","1,762,990","212,860","1,550,130","1,010,086","726,059","66,868","217,159","619,192","77,301","541,890","265,293","85,308","179,985","316,967","2,917,099"
Davis2012,316022,"10,917,835","8,069,433","16,474","21,703","14,429","720,962","1,558,981","877,768","681,213","319,896","682,501","269,863","203,783","1,919,111","264,187","1,654,923","1,054,588","757,403","71,838","225,347","653,055","83,966","569,089","289,513","95,239","194,274","344,572","2,848,402"
Davis2013,322368,"11,816,846","9,017,531","3,651","21,383","14,703","739,522","2,245,989","883,232","1,362,757","348,910","707,722","269,968","209,006","1,912,991","243,921","1,669,071","1,194,556","867,195","79,062","248,299","705,608","105,216","600,392","286,704","86,327","200,377","356,818","2,799,315"
Davis2014,328891,"12,156,778","9,247,353","3,420","28,296","19,579","823,878","2,072,355","903,797","1,168,558","344,024","718,268","290,791","203,742","2,071,522","248,461","1,823,060","1,231,101","885,992","70,953","274,156","753,482","128,544","624,938","306,800","94,636","212,164","380,094","2,909,425"
Davis2015,334814,"12,348,502","9,373,655",S,"18,710",S,"873,018","1,814,868","982,042","832,827","356,949","793,737","330,353",S,"2,118,648","281,352","1,837,297","1,295,245","900,864","108,501","285,880","795,812","155,940","639,871","342,850","105,723","237,127","403,386","2,974,847"
Davis2016,341255,"12,806,942","9,608,583","4,453","17,791","23,532","988,517","1,700,833","1,106,995","593,839","365,971","859,552","345,784","176,292","2,128,429","305,970","1,822,459","1,306,744","895,105","115,452","296,188","888,051","193,675","694,376","376,097","122,730","253,368","426,535","3,198,359"
Davis2017,346858,"13,919,822","10,514,202","5,555","23,377","42,103","1,053,870","2,016,201","1,202,473","813,728","396,391","926,934","384,543","177,449","2,292,053","317,824","1,974,229","1,322,728","887,407","107,742","327,579","995,933","232,213","763,720","416,414","140,381","276,033","460,650","3,405,620"
Davis2018,351154,"15,299,457","11,798,401","6,008","24,493","67,881","1,100,276","2,683,077","1,276,435","1,406,642","403,676","991,818","384,833","174,165","2,524,517","342,454","2,182,063","1,385,023","921,676","122,779","340,568","1,116,052","298,754","817,298","445,301","137,870","307,431","491,282","3,501,056"
Davis2019,355304,"15,858,378","12,157,955","8,220","20,175","97,188","1,159,550","2,649,425","1,289,463","1,359,962","400,189","1,056,256","391,366","179,129","2,589,102","362,140","2,226,962","1,426,006","967,748","105,674","352,585","1,173,566","285,134","888,433","492,997","135,255","357,742","514,786","3,700,422"
Davis2020,363745,"16,144,342","12,217,013","6,616","45,069","160,040","1,205,286","2,109,916","1,369,821","740,095","404,034","1,098,761","427,986","215,014","2,676,109","457,328","2,218,780","1,613,017","1,116,682","101,022","395,313","1,260,477","337,597","922,880","432,215","127,764","304,451","562,473","3,927,329"
Davis2021,367446,"17,611,924","13,476,848","10,131","33,377","171,113","1,289,098","2,746,480","1,410,379","1,336,101","455,063","1,302,148","435,666","276,464","2,811,365","479,265","2,332,099","1,612,848","1,056,905","119,007","436,936","1,223,722","218,734","1,004,988","512,269","137,996","374,273","597,105","4,135,075"
